image_path,type,danger,action,split,image_id,caption,target
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930000308033507328_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930000308033507328_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930000573411110913_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930000573411110913_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910564177764171777_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910564177764171777_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930102201825091585_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930102201825091585_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910525286009102336_2.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910525286009102336_2,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912359993680236554_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912359993680236554_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930432485892280320_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930432485892280320_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910803599680327681_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910803599680327681_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\929993504662720512_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,929993504662720512_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\3_10_2017\915201277432418305_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,915201277432418305_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\911938986297499648_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,911938986297499648_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930015299017105408_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930015299017105408_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\931062729779138560_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,931062729779138560_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\912050610396188672_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912050610396188672_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930079107873783808_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930079107873783808_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911683119740280834_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,911683119740280834_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\15_11_2017\930712268416753664_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930712268416753664_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910558750913658881_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910558750913658881_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\15_11_2017\930810047835398144_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930810047835398144_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910540541552623616_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910540541552623616_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910609588277452800_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910609588277452800_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910743867951058944_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910743867951058944_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\929994458153803776_2.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,929994458153803776_2,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930028600992165888_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930028600992165888_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910566762839543809_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910566762839543809_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\931159934154223618_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,931159934154223618_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930193943408586752_3.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930193943408586752_3,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911623621046566912_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,911623621046566912_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930015299017105408_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930015299017105408_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\911974797113950208_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,911974797113950208_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\17_11_2017\931577845780025348_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,931577845780025348_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930315477741551617_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930315477741551617_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910525324856823813_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910525324856823813_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\912048104651788289_2.jpg,earthquake,Low,Inspect buildings and prepare relief supplies,train,912048104651788289_2,,Type: earthquake | Danger: Low | Action: Inspect buildings and prepare relief supplies.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930046640827777027_0.jpg,earthquake,Low,Inspect buildings and prepare relief supplies,train,930046640827777027_0,,Type: earthquake | Danger: Low | Action: Inspect buildings and prepare relief supplies.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\930984789724741634_0.jpg,earthquake,Low,Inspect buildings and prepare relief supplies,train,930984789724741634_0,,Type: earthquake | Danger: Low | Action: Inspect buildings and prepare relief supplies.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912301115257053184_2.jpg,earthquake,Low,Inspect buildings and prepare relief supplies,train,912301115257053184_2,,Type: earthquake | Danger: Low | Action: Inspect buildings and prepare relief supplies.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\911934448098258945_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911934448098258945_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930086947674116097_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930086947674116097_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910553151215988740_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910553151215988740_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910696335812243458_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910696335812243458_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930523863691288576_3.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930523863691288576_3,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910816274309054465_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910816274309054465_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910765935845363712_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910765935845363712_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910701059420622854_1.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910701059420622854_1,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910610095683375105_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910610095683375105_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\931216097474498562_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,931216097474498562_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\29_9_2017\913616341575270400_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,913616341575270400_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\30_9_2017\914107462168530944_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,914107462168530944_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910534013416243200_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910534013416243200_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910575225988841472_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910575225988841472_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912340425566023680_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912340425566023680_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910542244830212096_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910542244830212096_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911624928268619776_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911624928268619776_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\912048104651788289_3.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912048104651788289_3,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\30_9_2017\914252814863314944_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,914252814863314944_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910722100767477760_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910722100767477760_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
