image_path,type,danger,action,split,image_id,caption,target
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911634888998055936_2.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911634888998055936_2,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\930984789724741634_0.jpg,earthquake,Low,Inspect buildings and prepare relief supplies,train,930984789724741634_0,,Type: earthquake | Danger: Low | Action: Inspect buildings and prepare relief supplies.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930015299017105408_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930015299017105408_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912232092997767168_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912232092997767168_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910652618824757248_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910652618824757248_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911663933790064640_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,911663933790064640_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911729011616862208_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911729011616862208_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910558114130333697_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910558114130333697_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910635961134014464_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910635961134014464_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910562408124387328_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910562408124387328_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910564980369567744_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910564980369567744_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911685084322742272_0.jpg,earthquake,Low,Inspect buildings and prepare relief supplies,train,911685084322742272_0,,Type: earthquake | Danger: Low | Action: Inspect buildings and prepare relief supplies.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930523863691288576_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930523863691288576_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910624850703773696_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910624850703773696_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\1_10_2017\914411563972534272_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,914411563972534272_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930045880400523264_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930045880400523264_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910580933438324736_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910580933438324736_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910534185747611648_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910534185747611648_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930332008848478208_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930332008848478208_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930007000632713217_3.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930007000632713217_3,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910570918681903104_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910570918681903104_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912159852629254144_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912159852629254144_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\911929073412247554_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911929073412247554_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930324417783017472_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930324417783017472_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912398081500565508_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912398081500565508_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\5_10_2017\916027579882029056_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,916027579882029056_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912111560679505920_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912111560679505920_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930003223800360960_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930003223800360960_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910563835852890112_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910563835852890112_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\15_11_2017\930652773116534784_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930652773116534784_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910659404126674944_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910659404126674944_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930435764336209920_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930435764336209920_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910688565109039105_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910688565109039105_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\929992723146399745_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,929992723146399745_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910566780145246208_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910566780145246208_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910524797238501376_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910524797238501376_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912111866595471360_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912111866595471360_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912294580791496704_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912294580791496704_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930091312665243651_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930091312665243651_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912166251396558848_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912166251396558848_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910687493330157568_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910687493330157568_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912406351816491011_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912406351816491011_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930213608457306113_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930213608457306113_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910708288601309185_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910708288601309185_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910523398144397312_2.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910523398144397312_2,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\911881648097992714_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911881648097992714_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930026663856963584_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930026663856963584_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\29_9_2017\913913387880468480_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,913913387880468480_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911633023631810562_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911633023631810562_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910576475895664640_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910576475895664640_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930014288714092544_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930014288714092544_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912151760273371137_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912151760273371137_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930274091738845185_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930274091738845185_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930057942426181632_1.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930057942426181632_1,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912430414781808640_3.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912430414781808640_3,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912395871995785216_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912395871995785216_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930029482152550400_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930029482152550400_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\931103180741595136_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,931103180741595136_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930046745974886401_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930046745974886401_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910745969163161600_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910745969163161600_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\28_9_2017\913343038642147328_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,913343038642147328_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\17_11_2017\931577845780025348_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,931577845780025348_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910800296162422784_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910800296162422784_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910615586073440261_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910615586073440261_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910695323273641984_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910695323273641984_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910622872455938048_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910622872455938048_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\29_9_2017\913735879931314177_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,913735879931314177_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930230964067930112_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930230964067930112_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911682931743010817_2.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911682931743010817_2,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930079107873783808_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930079107873783808_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\2_10_2017\914993292290469888_2.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,914993292290469888_2,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\929994774819479552_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,929994774819479552_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\911854728954486784_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911854728954486784_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\26_9_2017\912466974172700672_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912466974172700672_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\29_9_2017\913810439800270848_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,913810439800270848_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930010119332679682_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930010119332679682_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911656099463467008_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911656099463467008_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910818046683631616_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910818046683631616_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911697447822462978_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911697447822462978_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930059219306508289_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930059219306508289_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910621512209539073_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910621512209539073_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\912048104651788289_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912048104651788289_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910670238869368832_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910670238869368832_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930380460726865921_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930380460726865921_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\931216097474498562_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,931216097474498562_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910792007039225857_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910792007039225857_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\27_9_2017\913048848196550656_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,913048848196550656_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910610131641085952_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910610131641085952_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912340922897231873_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912340922897231873_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\911916099238793216_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911916099238793216_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911642941285896192_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911642941285896192_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\15_11_2017\930596309886799872_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930596309886799872_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930001999155945472_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930001999155945472_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\30_9_2017\913920723579629568_1.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,913920723579629568_1,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930347490263666688_2.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930347490263666688_2,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911661859568099328_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911661859568099328_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910713422358204416_1.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910713422358204416_1,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912331666504351744_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912331666504351744_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
